IID,array,job,start,creative,adj_pgs,sexMale,job_sat
1002005,4,"geographer, historian, philosopher, linguist, political scientist",2007,1,0.0975259123392924,0,3
1002355,3,"electrician, electrical fitter {52412543_2538}",1996,0,-0.3460612678141323,1,3
1003116,4,dinner lady,2005,-1,-0.7381418087757722,0,3
1003147,2,"senior official of special interest organisation including general manager or director or executive or general secretary of charity, or trade union/association or religious organisation",1991,0,0.06320945693047982,0,4
1003904,1,"chartered/certified accountant, auditor, company accountant, articled/audit clerk, official receiver",1992,0,0.6492849780117598,0,3
1004006,1,"receptionist, doctor's/dental receptionist {42163095_3083}",2001,0,-0.25297584930881495,0,4
1004989,2,"further education teaching professional, college lecturer/professor",1974,1,1.9924047606087736,0,4
1005391,0,"primary /junior school teacher or teaching professional, nursery school teacher (including head teacher)",1977,1,1.3831995354412967,0,3
1005664,0,"senior official in central government including members of the senior civil service and the equivalent in the diplomatic service, mps, meps",1965,0,0.16717708063897427,0,4
1006059,5,"management information officer, conference/events co-ordinator/organiser, exhibition officer, work study engineer/officer/analyst, contract adviser/agent, election agent, business system analyst",2007,0,-0.542043127829102,0,4
1006334,2,"senior official of special interest organisation including general manager or director or executive or general secretary of charity, or trade union/association or religious organisation",1993,0,-0.9197660918774492,1,3
1009042,2,"educational assistant, classroom assistant, special needs helper",2002,0,-1.982401870562183,0,3
1010289,1,"civil service administrative officer or assistant or clerk, tax collector, prison service clerk, law courts clerk",1983,0,0.16267743058246975,0,4
1011116,2,"general office assistant/clerk, clerical officer, clerk-typist, office supervisor, press/newspaper corrector/reader",2007,0,0.34012769114192004,0,5
1011824,2,"public relations officer, press officer, information officer",2002,0,0.29268392512605396,1,4
1011867,2,physiotherapist,2003,0,0.398492160073905,1,5
1012383,5,"mechanical engineer, automobile engineer, aeronautical engineer, locomotive or marine engineer, welding engineer",1997,0,0.06277147651256271,1,4
1013013,4,"painter, decorator",2008,0,0.5211903454674057,1,4
1013157,3,"it strategy or planning professional, computer consultant, software consultant",1994,1,1.6804403461913269,0,3
1014670,4,"personnel or industrial relations officer, recruitment consultant {35623217_3210}",2001,0,-0.6228169669373711,1,4
1016065,1,"solicitor, lawyer, barrister, judge, coroner, articled clerk, attorney, advocate, stipendiary magistrate, fiscal/crown prosecutor, sheriff (scottish courts), legal services recorder",1989,0,0.4597389104000365,0,3
1018649,3,"senior official of special interest organisation including general manager or director or executive or general secretary of charity, or trade union/association or religious organisation",1997,0,-0.5751887545918225,0,3
1020490,1,"architect, landscape architect/designer, structural designer {24313288_3287}",1992,1,0.41297649211223314,1,3
1020892,3,"management accountant, works accountant, cost accountant",2007,0,-0.35898750941519775,1,3
1021012,4,"management information officer, conference/events co-ordinator/organiser, exhibition officer, work study engineer/officer/analyst, contract adviser/agent, election agent, business system analyst",2008,0,-0.00763155213058481,0,4
1021695,0,"metal working production or maintenance fitter, machine fitter, fitter and turner, bench fitter, plant fitter",1959,-1,-0.8982204964717082,1,4
1022304,2,"librarian, assistant librarian {24513424_3419}",2002,1,1.0413640383665743,0,3
1022681,5,"director or chief executive of private organisation/company, company chairman or president, general manager",2005,0,-0.6888970601555837,1,1
1023795,3,"chartered surveyor, building surveyor, land surveyor, mining/minerals surveyor, river/water surveyor, surveyor and estimator, topographer, property surveyor",2008,0,-1.0768149854726747,1,4
1024570,0,conference/events/exhibition manager,1980,0,-0.08432614248794065,1,3
1024769,3,secondary school teacher or teaching professional (including head teacher),1992,1,1.3716744383576085,0,3
1025622,2,"social worker, child care/protection officer, adoption officer, mental health officer, almoner, family case worker",1996,-1,-0.45274755458170673,1,3
1026609,3,other engineering professional {21293047_3037},1995,0,-0.620561880805517,1,4
1027167,3,police officer (sergeant or below),1992,0,0.398288739811906,0,4
1027172,3,"bookbinder, print finisher, collator, binder's assistant, darkroom technician",2007,-1,-0.21079827925504535,1,2
1027390,1,"painter, decorator",1962,0,-0.7090575881727571,1,4
1028793,3,"director or chief executive of private organisation/company, company chairman or president, general manager",2006,0,0.518615104488043,1,5
1029665,2,clergyman/woman; any religious officer/leader,1994,0,-0.8713220485336192,0,3
1030435,0,"machine operator, processor, foreman {81112700_2699}",1976,0,-0.7335888306718671,1,3
1031499,2,secondary school teacher or teaching professional (including head teacher),2003,1,0.5285156284916002,0,3
1032742,5,"advertising or sales representative, demonstrator, estate agent negotiator, land/property salesman {71293332_3320}",2009,0,-0.22037877377589493,1,3
1033005,0,"pharmacist, pharmacologist, pharmaceutical chemist",1969,1,-1.7884595575987627,1,4
1033336,0,"educational assistant, classroom assistant, special needs helper",1963,0,-1.2919199044308096,0,3
1034194,2,secondary school teacher or teaching professional (including head teacher),1971,1,-0.14642338240349922,1,3
1034388,1,"physicist, astronomer, geologist, geophysicist, meteorologist, oceanographer, seismologist",1982,1,-1.1952927021418305,1,3
1034462,9,"receptionist, doctor's/dental receptionist {42163303_3297}",1998,0,-1.017564721982304,0,3
1035055,3,"management consultant, actuary, economist, statistician, statistical controller/assistant, business analyst, demographer, economic forecaster",1984,1,-1.2994403120670113,1,4
1035106,0,"management information officer, conference/events co-ordinator/organiser, exhibition officer, work study engineer/officer/analyst, contract adviser/agent, election agent, business system analyst",1988,0,-0.8642862024077451,0,3
1036267,2,"counter clerk, bank clerk, cashier, post office clerk",2000,0,-0.0395364032624493,0,2
1038655,3,local government administrative officer or assistant or clerk,1999,0,0.5265397471610547,0,4
1038787,2,"mechanical engineer, automobile engineer, aeronautical engineer, locomotive or marine engineer, welding engineer",1961,0,1.22516959455521,1,5
1039124,1,"accounts and wages clerk/assistant/supervisor, bookkeeper, cost or ledger clerk, audit assistant, budget officer, student loans officer, paymaster {41223241_3235}",1973,0,-0.9044619864302464,0,4
1039497,4,"broker, financial/insurance broker, foreign exchange dealer, ship/marine broker, stockbroker, commodity trader {35323258_3249}",1997,0,-0.5686676026112274,0,2
1039526,1,"graphic designer, commercial artist, desktop publishing artist, illuminator",1981,1,-1.8223699466755947,1,3
1039741,6,"advertising or public relations manager, media/publicity manager, campaign/fundraising manager",2002,0,0.37872711278440424,1,5
1042292,0,"machine operator, processor, foreman {81212774_2773}",1983,0,0.5702834816521918,0,3
1042896,7,research or laboratory manager,1996,0,1.120750492787701,1,2
1043875,4,"personnel, human resources, training or industrial relations manager/director, recruitment manager/director",2005,0,0.1529196101962524,1,4
1046189,2,"primary /junior school teacher or teaching professional, nursery school teacher (including head teacher)",2005,1,0.05451899189329608,0,3
1047067,5,"chartered surveyor, building surveyor, land surveyor",1989,0,-0.689687508212666,1,3
1048428,3,"medical technician, audiologist, cardiographer, prosthesist, ecg technician, eeg technician",1983,0,-0.3063258763260209,1,3
1048650,4,"postal worker, postman, mail sorter, messenger, courier, mailroom clerk, post sorter, leaflet/circular distributor, newspaper/parcel deliverer {92113352_3347}",2007,0,0.6454855749294526,1,4
1050869,5,"officer of ngo, trade union organiser/official, charity administrator, secretary of research or charity or political or professional or trade association or trade union",2004,0,0.11201178928794876,0,3
1051636,1,"educational assistant, classroom assistant, special needs helper",2002,0,0.6283089333259417,0,3
1052284,2,"medical doctor, general practitioner, hospital consultant",1984,-1,-0.46290242861811054,0,3
1052637,5,"personnel or industrial relations officer, recruitment consultant {35623213_3210}",2001,0,-0.547773258502618,1,2
1053392,1,"educational assistant, classroom assistant, special needs helper",1990,0,-0.982584880590311,0,4
1053418,1,clergyman/woman; any religious officer/leader,1967,0,0.7722284473932989,1,4
1053530,7,"vocational or industrial trainer/instructor, craft instructor, apprentice instructor {35633214_3210}",2007,1,-1.472837557297697,1,3
1055621,1,"community worker, day centre officer, youth leader, youth worker, parish worker, bail support officer",1990,0,0.8719947408805175,0,4
1055737,3,"software professional, analyst-programmer, computer programmer, software analyst or engineer, systems designer or programmer",2001,1,0.2954764279585237,1,3
1056980,4,"chartered/certified accountant, auditor, company accountant, articled/audit clerk, official receiver",1990,0,-0.1912962034722322,1,3
1057801,4,"builder, building contractor {53192534_2523}",1997,-1,-0.8967321615299763,1,4
1059562,1,"retail or wholesale shop manager, showroom manager",2007,-1,-0.48686912268718646,1,3
1060443,3,"higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)",1986,1,-0.8590126080972417,0,3
1060916,6,garage manager/proprietor {12322938_2933},1993,-1,-0.2573277452435089,1,3
1061420,2,"social services manager, community care manager, welfare services manager",1993,-1,0.00928438734310038,1,4
1062650,4,"public relations officer, press officer, information officer, publicity assistant",2009,0,-0.0819229825644438,0,3
1064190,0,"researcher in broadcasting, journalism, photography, printing and publishing",1964,1,0.11043545858530086,0,3
1064716,7,"education officer, director of education, curriculum development officer",2008,0,-1.4103082362898505,0,3
1064747,3,"aircraft pilot, flight engineer, aircraft navigator, helicopter pilot",2007,0,-1.4707001961282746,1,4
1066322,4,"registrar or senior administrator of educational establishment, bursar, registrar, university administrator",2004,0,1.0482450249983897,0,3
1068581,3,"journalist, reporter, newspaper correspondent, sports writer, newspaper or magazine editor",1998,1,-2.0740387365826933,1,2
1069120,0,"medical doctor, general practitioner, hospital consultant",1969,-1,-0.28501061049616916,1,5
1071989,3,"ict or it manager, systems/data processing manager, telecom manager",2000,1,0.3484344306968274,0,1
1072373,2,"road transport/traffic clerk, distribution clerk/controller, shipping clerk/controller, fleet controller/administrator, traffic officer (road haulage)",2004,0,0.36507214984776526,1,3
1074760,1,"farm manager, agricultural manager",1998,0,1.3057689243623911,1,4
1076725,2,"stock control clerk, stock controller, progress/production/stock chaser, warehouse clerk, materials controller/co-ordinator, stores officer",2003,0,-1.152813635952479,1,4
1078443,2,"officer of ngo, trade union organiser/official, charity administrator, secretary of research or charity or political or professional or trade association or trade union",1979,0,-1.0876202609902847,1,4
1080812,2,property/housing/land manager,1994,0,-0.16566014579151694,0,3
1080956,3,"other customs and excise or immigration officer, coastguard, emergency planning officer, civilian scenes of crime officer, civilian defence officer",2000,0,-0.6497607479577491,0,4
1081247,3,"further education teaching professional, college lecturer/professor",1993,1,0.17176173533560266,0,4
1082076,6,"market or street trader/assistant, stall holder, newspaper seller",1999,-1,0.5562069334094164,0,5
1082479,2,"director or chief executive of private organisation/company, company chairman or president, general manager",1978,0,-1.1636875028867697,1,4
1082601,3,special needs teaching professional (including head teacher),2005,1,-0.7183447111827432,1,4
1083989,0,"veterinary nurse or assistant, animal technician {61313125_3123}",1976,-1,-1.3995398327985922,0,3
1084044,4,"sales or marketing manager/director, export/import manager, business development manager, advertising/commercial manager",1990,1,0.38154514254392946,0,2
1086256,2,physiotherapist,2000,0,-0.955266766664126,0,4
