array,job,start,creative,adj_pgs,sexMale,job_sat
4,"painter, decorator",2008,1,0.5211903454674057,1,4
1,"architect, landscape architect/designer, structural designer {24313288_3287}",1992,1,0.41297649211223314,1,3
1,"painter, decorator",1962,1,-0.7090575881727571,1,4
1,"graphic designer, commercial artist, desktop publishing artist, illuminator",1981,1,-1.8223699466755947,1,3
3,"journalist, reporter, newspaper correspondent, sports writer, newspaper or magazine editor",1998,1,-2.0740387365826933,1,2
2,"road transport/traffic clerk, distribution clerk/controller, shipping clerk/controller, fleet controller/administrator, traffic officer (road haulage)",2004,-1,0.36507214984776526,1,3
1,"farm manager, agricultural manager",1998,-1,1.3057689243623911,1,4
1,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",2006,-1,-0.7634714000520227,0,4
4,"painter, calligrapher, portrait engraver, art restorer",1999,1,-0.7455249875336168,0,4
3,"author, writer, biographer, book editor, novelist, dramatist, playwright, poet",1980,1,0.7687098959780563,0,3
2,"journalist, reporter, newspaper correspondent, sports writer, newspaper or magazine editor",2002,1,-0.9369226680214532,1,3
3,"factory/works manager, shift manager",1999,-1,-0.8711038033900095,1,3
1,"principal of dancing/drama/evening school, private music teacher",2007,1,-2.0269277818056355,0,4
2,plumber,2000,-1,0.10067847287512462,1,4
3,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1987,-1,-0.09936853813054931,0,3
2,"architect, landscape architect/designer, structural designer {24313288_3287}",2007,1,-0.7280488438144375,1,3
3,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1993,-1,0.11884792186213462,0,3
2,"journalist, reporter, newspaper correspondent, sports writer, newspaper or magazine editor",1992,1,0.5945799053890445,1,3
2,"architect, landscape architect/designer, structural designer {24313288_3287}",1980,1,0.06750399468454893,1,4
4,"care assistant, home care assistant, residential social worker, home carer, nursing home assistant",2003,-1,1.4850255609130718,1,3
1,"broadcasting professional, broadcaster, news reporter; radio or television journalist, director or producer",1979,1,0.9496217619831032,1,2
5,"care assistant, home care assistant, residential social worker, home carer, nursing home assistant",2009,-1,1.226007525439652,1,3
7,"care assistant, home care assistant, residential social worker, home carer, nursing home assistant",2005,-1,-1.4698881912518884,0,5
3,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",2004,-1,0.14673800837838258,1,4
3,"broadcasting professional, broadcaster, news reporter; radio or television journalist, director or producer",1996,1,0.5329478111427393,1,2
0,"architect, landscape architect/designer, structural designer {24313288_3287}",1970,1,-0.5010174803268139,1,4
1,"farmhand, farm labourer, herdsman, shepherd, dairyman, pigman",1991,-1,0.14507574484733662,0,0
1,"architect, landscape architect/designer, structural designer {24313288_3287}",1970,1,0.5038307051480831,1,3
2,"factory/works manager, shift manager",1992,-1,0.35141766532596397,1,4
2,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",2008,-1,1.2093891010109532,0,3
3,"nurseryman, market gardener, horticulturist",2001,-1,0.7042906524654481,0,5
2,"other work in this industry: factory hand, mate, assistant, handler, loader {91392802_2793}",1975,-1,-1.7749476061855276,1,4
7,"journalist, reporter, newspaper correspondent, sports writer, newspaper or magazine editor",1988,1,-0.10082173700009242,1,1
1,"factory/works manager, shift manager",2002,-1,0.3936833831493979,1,3
5,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",2002,-1,-0.6376155966441605,0,4
0,"factory/works manager, shift manager",1974,-1,0.4915222683941378,1,3
3,"nurseryman, market gardener, horticulturist",2007,-1,-0.0063903784822441,0,4
1,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",2006,-1,-0.35996735661910395,0,2
4,"broadcasting professional, broadcaster, news reporter; radio or television journalist, director or producer",1991,1,-0.815038003482876,1,3
2,"author, writer, biographer, book editor, novelist, dramatist, playwright, poet",2003,1,0.6630561786829252,1,4
0,"architect, landscape architect/designer, structural designer {24313288_3287}",1974,1,1.5252849350667306,1,4
3,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",2008,-1,0.6348781282349298,1,3
5,"other work in this industry: factory hand, mate, assistant, handler, loader {91392822_2814}",2006,-1,1.322528783419332,1,3
3,"arts officer, producer, director; entertainment/artists'/theatrical agent; studio manager, prompter",1999,1,0.9600667910679124,0,3
2,plumber,2003,-1,-0.9637937003857396,1,4
4,"care assistant, home care assistant, residential social worker, home carer, nursing home assistant",2004,-1,1.0571022589629646,0,3
3,"horticultural manager, vineyard manager",1986,-1,-0.23325333481467833,1,2
3,"architect, landscape architect/designer, structural designer {24313288_3287}",2004,1,-0.808006143079897,0,3
2,"inspector of factories or utilities, gas/electricity installation inspector, plumbing inspector",2002,-1,-0.6317775205611244,1,4
0,"nurseryman, market gardener, horticulturist",1964,-1,1.014821132221073,0,5
3,"factory/works manager, shift manager",2004,-1,1.0475035188992654,1,3
3,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1985,-1,1.4894260055415014,0,0
6,"broadcasting professional, broadcaster, news reporter; radio or television journalist, director or producer",2000,1,0.4559882666956217,0,3
1,"care assistant, home care assistant, residential social worker, home carer, nursing home assistant",2003,-1,2.036897827003371,0,3
5,"painter, decorator",1974,1,-1.234728222828772,1,2
4,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1999,-1,-0.5954806779469493,0,3
3,"architect, landscape architect/designer, structural designer {24313288_3287}",1984,1,0.310203798915115,1,5
7,"broadcasting professional, broadcaster, news reporter; radio or television journalist, director or producer",1995,1,0.05757491316838136,0,3
3,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",2006,-1,-2.0253898516636277,0,4
0,"painter, calligrapher, portrait engraver, art restorer",1997,1,-1.3241142293064634,0,4
1,"care assistant, home care assistant, residential social worker, home carer, nursing home assistant",1998,-1,-0.4907734632889808,0,5
1,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1994,-1,1.906349138176462,0,4
1,"principal of dancing/drama/evening school, private music teacher",1991,1,-1.2634629201678007,0,5
3,"journalist, reporter, newspaper correspondent, sports writer, newspaper or magazine editor",1997,1,-0.04741624875520975,0,2
1,"farm manager, agricultural manager",1978,-1,-0.8679898412048017,1,3
1,"care assistant, home care assistant, residential social worker, home carer, nursing home assistant",1985,-1,0.3466010548002485,0,3
0,"arts officer, producer, director; entertainment/artists'/theatrical agent; studio manager, prompter",1981,1,-1.7775245114920422,0,5
6,"author, writer, biographer, book editor, novelist, dramatist, playwright, poet",1993,1,1.595639237962332,1,5
2,"musician, bandsman, instrumentalist, bellringer; composer, conductor; song writer",1986,1,-2.619917143084445,0,4
2,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1983,-1,-0.19955565194838837,0,4
4,"painter, decorator",1994,1,-1.0496390339929782,1,2
1,"musician, bandsman, instrumentalist, bellringer; composer, conductor; song writer",1983,1,-0.5974739924500775,0,3
3,"author, writer, biographer, book editor, novelist, dramatist, playwright, poet",1982,1,0.25142692415053297,0,5
2,"architect, landscape architect/designer, structural designer {24312597_2590}",1994,1,0.5291350297386749,1,4
0,"architect, landscape architect/designer, structural designer {24313288_3287}",1973,1,0.3543285827426645,1,4
0,"inspector of factories or utilities, gas/electricity installation inspector, plumbing inspector",1987,-1,1.596681618823355,1,3
2,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",2003,-1,-0.70584260330454,0,2
2,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1996,-1,-0.00771293286247132,1,2
4,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1984,-1,1.208187704186501,0,4
1,"care assistant, home care assistant, residential social worker, home carer, nursing home assistant",1997,-1,-0.9869940561021288,0,3
0,"compositor, originator, lithographic plate maker, paste-up artist, stereotyper, typesetter",1961,1,-0.14269350141075438,1,2
3,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1984,-1,-0.8589897480470494,0,3
3,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",2008,-1,0.8055382539744776,1,3
3,"care assistant, home care assistant, residential social worker, home carer, nursing home assistant",2005,-1,-0.36456954648993783,0,4
3,"sales assistant, retail/shop assistant, counter assistant, sub post office assistant, takeaway food worker",1983,-1,-0.21129480947103343,0,3
4,"inspector of factories or utilities, gas/electricity installation inspector, plumbing inspector",1992,-1,-0.5605632625432512,1,4
1,"graphic designer, commercial artist, desktop publishing artist, illuminator",1989,1,0.5950336279222097,0,3
1,plumber,2005,-1,1.1899049652709126,1,3
7,"principal of dancing/drama/evening school, private music teacher",2007,1,-0.3433308652896467,1,3
0,"architect, landscape architect/designer, structural designer {24312597_2590}",1979,1,-2.0201858916587203,1,4
3,"draughtsperson, cartographer, designer-detailer/draughtsperson, drawing office checker, engineering draughtsperson",1988,1,1.2930014982209488,1,3
